zone,town,x,y,guess,faction (A/H/N)
Arathi Highlands,Boulderfist Outpost,34.8,44.2,A,
Arathi Highlands,Drywhisker Gorge,82.2,36.7,H,
Arathi Highlands,The Tower of Arathor,18.0,68.5,,
Ashenvale,Bathran's Haunt,32.3,22.0,,
Ashenvale,Bloodtooth Camp,54.9,79.6,,
Ashenvale,Demon Fall Canyon,84.1,77.3,,
Ashenvale,Falfarren River,68.0,63.5,H,
Ashenvale,Forest Song,86.5,46.6,,
Ashenvale,Greenpaw Village,54.5,62.0,,
Ashenvale,Silverwind Refuge,50.1,66.1,,
Ashenvale,Silverwing Grove,61.7,83.5,,
Ashenvale,Silverwing Outpost,65.3,75.3,,
Ashenvale,The Dor'Danil Barrow Den,75.9,75.4,H,
Ashenvale,The Ruins of Ordil'Aran,31.6,30.7,,
Ashenvale,The Talondeep Path,42.2,71.4,,
Ashenvale,Warsong Labor Camp,72.2,80.6,,
Ashenvale,Xavian,78.4,45.2,,
Azshara,Hetaera's Clutch,58.3,52.8,,
Azshara,Rethress Sanctum,62.3,93.0,,
Azshara,Scalebeard's Cave,54.5,48.4,,
Azshara,Temple of Zin-Malor,41.1,53.0,,
Badlands,Angor Fortress,43.4,30.3,,
Badlands,Dustbelch Grotto,7.5,86.3,,
Badlands,Uldaman,44.2,12.2,,
Burning Steppes,Slither Rock,94.4,31.8,,
Darkshore,Blackwood Den,44.5,85.0,,
Darkshore,Cliffspring Falls,55.0,33.5,,
Darkshore,Wildbend River,41.5,75.0,,
Darnassus,Darnassus,64.6,40.6,A,
Deadwind Pass,Ariden's Camp,52.3,34.6,,
Deadwind Pass,Deadwind Ravine,40.3,42.3,,
Deadwind Pass,Grosh'gok Compound,60.1,74.7,,
Deadwind Pass,Sleeping Gorge,45.6,52.4,,
Desolace,Bolgan's Hole,38.6,91.2,,
Desolace,Ghost Walker Post,55.5,55.9,,
Desolace,Maraudon,29.2,62.5,H,
Desolace,Scrabblescrew's Camp,61.0,62.0,,
Desolace,Valley of Bones,60.5,90.2,,
Dun Morogh,Anvilmar,28.8,68.8,,
Dun Morogh,Ironband's Compound,77.3,60.4,,
Dun Morogh,Kharanos,46.4,52.0,,
Dun Morogh,Steelgrill's Depot,50.0,49.1,,
Durotar,Razor Hill,52.6,42.4,,
Durotar,Razorwind Canyon,48.6,33.2,,
Durotar,Sen'jin Village,55.9,74.6,,
Durotar,The Den,42.4,68.4,,
Durotar,Tor'kren Farm,43.1,30.7,,
Duskwood,Beggar's Haunt,87.9,35.2,A,
Duskwood,Raven Hill,19.4,57.6,,
Duskwood,Roland's Doom,73.1,75.5,A,
Dustwallow Marsh,Bloodfen Burrow,31.7,65.8,,
Dustwallow Marsh,Bluefen,40.2,18.6,H,
Dustwallow Marsh,Darkmist Cavern,33.3,22.8,H,
Dustwallow Marsh,Emberstrife's Den,54.4,84.4,,
Dustwallow Marsh,Lost Point,35.9,54.1,,
Dustwallow Marsh,North Point Tower,46.8,24.3,,
Dustwallow Marsh,Onyxia's Lair,52.3,76.1,,
Dustwallow Marsh,Sentry Point,59.7,41.2,A,
Dustwallow Marsh,Shady Rest Inn,29.7,48.3,,
Dustwallow Marsh,Stonemaul Ruins,44.7,66.1,,
Dustwallow Marsh,Swamplight Manor,55.6,26.2,,
Dustwallow Marsh,Theramore Isle,65.0,47.0,A,
Dustwallow Marsh,Tidefury Cove,58.8,64.8,,
Eastern Plaguelands,Browman Mill,68.0,42.1,,
Eastern Plaguelands,Terrorweb Tunnel,12.0,22.9,,
Elwynn Forest,Echo Ridge Mine,47.7,31.8,,
Elwynn Forest,Goldshire,42.4,66.6,,
Elwynn Forest,Jasperlode Mine,61.7,53.8,,
Elwynn Forest,Maclure Vineyards,42.2,86.8,,
Elwynn Forest,Northshire Abbey,49.4,41.3,,
Elwynn Forest,Northshire Vineyards,53.9,48.7,,
Elwynn Forest,Stonefield Farm,33.3,84.8,,
Elwynn Forest,Westbrook Garrison,25.0,72.4,,
Felwood,Irontree Cavern,55.9,17.0,A,
Felwood,Timbermaw Hold,65.0,8.2,,
Feralas,Feathermoon Stronghold,31.1,44.6,A,
Feralas,Lariss Pavillion,77.1,36.4,H,
Feralas,Rage Scar Hold,53.3,31.9,,
Feralas,Ruins of Solarsal,26.3,53.7,A,
Feralas,Shalzaru's Lair,26.2,67.5,,
Feralas,Woodpaw Den,65.9,53.3,,
Feralas,Woodpaw Hills,75.4,55.0,H,
Loch Modan,Algaz Station,24.4,17.9,,
Moonglade,Shrine of Remulos,36.1,41.3,,
Moonglade,Stormrage Barrow Dens,68.0,60.2,,
Mulgore,Bloodhoof Village,46.7,63.1,,
Mulgore,Camp Narache,44.4,77.3,,
Mulgore,Venture Co. Mine,57.1,43.1,,
Redridge Mountains,Render's Rock,28.0,6.9,,
Redridge Mountains,Rethban Caverns,14.8,27.3,A,
Redridge Mountains,Tower of Ilgalar,75.4,48.8,,
Silithus,Bones of Grakkarond,47.8,54.9,,
Silithus,Bronzebeard Encampment,41.1,88.8,,
Silithus,Ortell's Hideout,66.3,70.1,,
Silithus,Ravaged Twilight Camp,22.1,10.7,,
Silithus,Staghelm Point,70.0,24.1,,
Silithus,The Swarming Pillar,51.8,47.7,,
Silithus,Twilight Base Camp,38.5,44.7,,
Silithus,Twilight Outpost,20.2,84.8,,
Silithus,Twilight Post,25.9,33.7,,
Silithus,Twilight's Run,68.9,15.2,,
Silithus,Valor's Rest,81.2,19.2,,
Silverpine Forest,Valgan's Field,52.2,27.1,H,
Stonetalon Mountains,Cragpool Lake,65.0,42.2,,
Stonetalon Mountains,Sishir Canyon,53.7,73.7,,
Stonetalon Mountains,The Talon Den,29.8,15.3,A,
Stonetalon Mountains,The Talondeep Path,78.3,42.5,,
Stonetalon Mountains,Windshear Mine,73.8,59.4,,
Stranglethorn Vale,Grom'gol Base Camp,31.9,28.4,H,
Stranglethorn Vale,Janeiro's Point,23.5,70.8,,
Stranglethorn Vale,Spirit Den,35.1,60.7,,
Stranglethorn Vale,Yojamba Isle,15.2,16.6,,
Swamp of Sorrows,Misty Reed Post,81.5,80.7,,
Swamp of Sorrows,Stagalbog Cave,66.1,77.3,H,
Swamp of Sorrows,Temple of Atal'Hakkar,70.0,52.9,H,
Tanaris,Uldum,37.2,81.8,,
